ID,Paper,Year,Publisher,Link,UML,UML_Image,Stage,Human Roles,AI Roles,Controls,Human modality,AI modality,Efficiency,Reliability,Interuption,Persistence,Expressive,Interpretability,Target user,Explanation
,,,,,,,Insight Synthesis,"Evaluator, Refiner",Producer,Sequential,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user interprets topics, combining text semantics with visualization."
29,MultiVision: Designing Analytical Dashboards with Deep Learning Based Recommendation,2022,TVCG,https://ieeexplore.ieee.org/document/9552449/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Upload [dataset]

    note over H,A: Data Preparation
    A ->> H: Recommend [charts]

    note over H,A: Visualization
    alt Edit
        H ->> A: Modify [view]
        A ->> H: Update [suggestion]
    else Accept
        H ->> A: Confirm [dashboard]
    end

    note over H,A: Insight Synthesis
    A ->> H: Save [log]",,Goal Setting,Updater,None,Sequential,Widget,None,Medium,Medium,Low,One-shot,High,Low,general user,The user uploads tabular datasets.
,,,,,,,Data Preparation,None,Recommender,Sequential,None,Vis,High,Medium,High,One-shot,Medium,Medium,general user,The AI recommends candidate charts.
,,,,,,,Visualization,Updater,Updater,Decision,Vis Widget,None,Medium,Medium,Low,One-shot,Low,High,general user,The user edits or accepts recommended dashboards.
,,,,,,,Insight Synthesis,None,Selector,Sequential,None,Vis,Medium,High,Low,One-shot,High,High,general user,The AI saves history and logs.
30,ChartSeer: Interactive Steering Exploratory Visual Analysis With Machine Intelligence,2022,TVCG,https://ieeexplore.ieee.org/document/9174891/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Create [chart]

    note over H,A: Visualization
    A ->> H: Summarize [state]
    A ->> H: Recommend [chart]

    alt Accept
        H ->> A: Select [recommendation]
        A ->> H: Generate [chart]
    else Reject
        H ->> A: Specify [goal]
        A ->> H: Suggest [alternative]
    end",,Goal Setting,Demonstrator,None,Sequential,Widget,None,Medium,Medium,High,One-shot,High,Low,general user,The user manually creates initial charts.
,,,,,,,Visualization,None,"Generator, Recommender",Decision,None,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The AI summarizes the current state and recommends charts.
31,CrossData: Leveraging Text-Data Connections for Authoring Data Documents,2022,CHI,https://dl.acm.org/doi/abs/10.1145/3491102.3517485,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Write [text]

    note over H,A: Data Preparation
    A ->> H: Detect [connection]

    note over H,A: Visualization
    H ->> A: Insert [table]
    A ->> H: Update [chart]

    note over H,A: Insight Synthesis
    par Explore
        H ->> A: Query [data]
        A ->> H: Return [value]
    and Revise
        H ->> A: Edit [text]
        A ->> H: Sync [data]
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,general user,The user writes text as a starting point.
,,,,,,,Data Preparation,None,Interpreter,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,general user,The AI detects and builds connections between text and data.
,,,,,,,Visualization,Updater,Updater,Sequential,Vis,None,Medium,Medium,Low,Continuous,Low,High,general user,"The user inserts tables, the AI updates charts."
,,,,,,,Insight Synthesis,"Refiner, Selector",Refiner,Parallel,Text,Vis,Medium,High,Low,One-shot,High,High,general user,"The user queries or edits text, the AI synchronizes data and results."
32,Diverse Interaction Recommendation for Public Users Exploring Multi-view Visualization using Deep Learning,2022,TVCG,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9903596,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Perform [interaction]

    note over H,A: Data Preparation
    A ->> H: Recommend [action]

    note over H,A: Visualization
    alt Accept
        H ->> A: Execute [interaction]
    else Ignore
        H ->> A: Perform [interaction]
    end

    note over H,A: Insight Synthesis
    A ->> H: Adapt [model]",,Goal Setting,Demonstrator,None,Sequential,Vis Widget,None,Medium,Medium,Low,One-shot,High,Low,general user,The user interacts within visualizations.
,,,,,,,Data Preparation,None,Recommender,Sequential,None,Vis,High,Medium,High,One-shot,Medium,Medium,general user,The system recommends next interactions.
,,,,,,,Visualization,Explorer,None,Decision,Vis Widget,None,Medium,Medium,Medium,Continuous,Low,High,general user,The user accepts or ignores recommended interactions.
,,,,,,,Insight Synthesis,None,Refiner,Repetitive,None,Vis,Medium,High,Low,One-shot,High,High,general user,The system adapts to user behavior and improves recommendations.
33,ConceptEVA: Concept-Based Interactive Exploration and Customization of Document Summaries,2023,CHI,https://dl.acm.org/doi/full/10.1145/3544548.3581260,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Upload [document]

    note over H,A: Insight Synthesis
    A ->> H: Generate [summary]

    note over H,A: Visualization
    A ->> H: Visualize [concepts]

    note over H,A: Insight Synthesis
    H ->> A: Select [concepts]
    A ->> H: Update [summary]
    opt Edit
        H ->> A: Revise [sentence]
        A ->> H: Paraphrase [option]
    end",,Visualization,"Refiner, Selector","Producer, Refiner",Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The AI visualizes concept networks.
,,,,,,,Insight Synthesis,None,Generator,Sequential,None,Text Vis,Medium,High,Medium,Continuous,High,High,domain expert,"The AI generates summaries, the user selects concepts and updates text."
,,,,,,,Data Preparation,Executor,None,Repetitive,Text,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,The user uploads documents.
34,HiTailor: Interactive Transformation and Visualization for Hierarchical Tabular Data,2023,TVCG,https://ieeexplore.ieee.org/document/9903293/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [table]
    A ->> A: Parse [model]
    H ->> A: Apply [transformation]

    note over H,A: Visualization
    A ->> H: Update [table]
    H ->> A: Select [TableUnit]
    A ->> H: Recommend [blocks]
    H ->> A: Choose [template]
    H ->> A: Configure [mapping]
    A ->> H: Render [visualization]

    note over H,A: Insight Synthesis
    opt Iteration
        H ->> A: Refine [unit]
        A ->> H: Revise [recommendation]
    end",,Data Preparation,"Executor, Transformer",Interpreter,Sequential,Widget,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The user provides tables and applies transformations, interface operations are primary."
,,,,,,,Visualization,Updater,"Generator, Recommender, Updater",Sequential,Widget,Vis Widget,Medium,Medium,Medium,Continuous,Low,High,domain expert,"The system updates table views and recommends TableUnits, the user selects templates and configures mappings."
,,,,,,,Insight Synthesis,Refiner,Refiner,Repetitive,None,Vis Widget,Medium,High,Low,One-shot,High,High,domain expert,"The user refines units, the system updates recommendations, completing visual interactions."
35,Angler: Helping Machine Translation Practitioners Prioritize Model Improvements,2023,CHI,https://dl.acm.org/doi/10.1145/3544548.3580790,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Identify [issue]

    note over H,A: Data Preparation
    A ->> H: Suggest [set]
    H ->> A: Curate [set]

    note over H,A: Visualization
    A ->> H: Visualize [metrics]

    note over H,A: Insight Synthesis
    alt Analyze
        H ->> A: Inspect [samples]
        A ->> H: Update [signals]
    else Compare
        H ->> A: Select [sets]
        A ->> H: Display [results]
    end
    H ->> A: Decide [priority]
    A ->> H: Recommend [action]",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Medium,Continuous,High,Low,domain expert,The user identifies model issues.
,,,,,,,Data Preparation,Recommender,Recommender,Repetitive,Text,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The system suggests candidate datasets, the user curates collections."
,,,,,,,Visualization,None,Generator,Sequential,None,Vis,Medium,Medium,High,One-shot,Low,High,domain expert,The system presents performance metrics.
,,,,,,,Insight Synthesis,"Evaluator, Selector","Producer, Recommender, Refiner",Decision,Vis,Text,Medium,High,Low,One-shot,High,High,domain expert,"The user inspects samples or compares collections, the system updates signals and recommends actions."
36,Socrates: Data Story Generation via Adaptive Machine-Guided Elicitation of User Feedback,2023,TVCG,https://doi.org/10.1109/TVCG.2023.3327363,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [data]

    note over H,A: Visualization
    A ->> H: Generate [story]

    note over H,A: Insight Synthesis
    opt Clarify
        A ->> H: Ask [question]
        H ->> A: Give [feedback]
        A ->> H: Refine [story]
    end
    opt Repeat
        A ->> H: Ask [question]
        H ->> A: Give [feedback]
        A ->> H: Update [story]
    end",,Data Preparation,Executor,None,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,general user,The user provides datasets.
,,,,,,,Visualization,None,Generator,Sequential,None,Vis Text,Medium,Medium,Medium,Continuous,Low,High,general user,The system generates draft stories.
,,,,,,,Insight Synthesis,Selector,"Refiner, Selector",Repetitive,None,Text,Medium,High,Low,One-shot,High,High,general user,The system collects feedback via Q&A and updates stories.
37,ONYX: Assisting Users in Teaching Natural Language Interfaces Through Multi-Modal Interactive Task Learning,2023,CHI,https://dl.acm.org/doi/10.1145/3544548.3580964,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Demonstrate [action]

    note over H,A: Data Preparation
    A ->> H: Suggest [option]
    alt Ambiguity
        A ->> H: Ask [question]
        H ->> A: Clarify [input]
    end

    note over H,A: Visualization
    A ->> H: Guide [aid]
    H ->> A: Edit [script]

    note over H,A: Insight Synthesis
    A ->> H: Update [output]",,Goal Setting,Demonstrator,None,Sequential,Vis Widget Text,None,Medium,Medium,High,One-shot,High,Low,novice/general,The user demonstrates actions or specifies goals via natural language.
,,,,,,,Data Preparation,Recommender,Recommender,Decision,None,Text Vis,High,Medium,Medium,Continuous,Medium,Medium,novice/general,"The AI asks clarifying questions, the user answers."
,,,,,,,Visualization,Updater,Recommender,Repetitive,Code,Vis Text,Medium,Medium,Low,One-shot,Low,High,novice/general,"The AI provides visual and text assistance, the user edits scripts."
,,,,,,,Insight Synthesis,None,Refiner,Sequential,None,Text,Medium,High,Low,One-shot,High,High,novice/general,"The AI updates outputs, completing task learning."
38,InkSight: Leveraging Sketch Interaction for Documenting Chart Findings in Computational Notebooks,2023,TVCG,https://arxiv.org/pdf/2307.07922,"sequenceDiagram
participant H as Human
participant A as AI

note over H,A: Data Preparation
H ->> A: Create [chart] 
H ->> A: Sketch [intent] 
A ->> A: Detect [region] 
A ->> A: Infer [fact] 

note over H,A: Insight Synthesis
A ->> H: Generate [text] 
opt Refinement
H ->> A: Edit [text] 
A ->> H: Update [text] 
end",,Data Preparation,Analyzer,"Analyzer, Interpreter",Sequential,Sketch Vis,None,High,Medium,Medium,Continuous,Medium,Medium,general user,"The user sketches on charts, the AI detects regions and infers facts."
,,,,,,,Insight Synthesis,Refiner,"Producer, Refiner",Repetitive,None,Text,Medium,High,Low,One-shot,High,High,general user,"The AI generates text summaries, the user edits and updates."
39,MEDLEY: Intent-based Recommendations to Support Dashboard Composition,2023,TVCG,https://arxiv.org/pdf/2208.03175,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Set [intent]  

    note over H,A: Insight Synthesis
    A ->> A: Recommend [collection]  
    A ->> H: Present [option]  
    opt Manual
        H ->> A: Select [view]  
    end

    note over H,A: Visualization
    H ->> A: Configure [widget]  
    A ->> H: Update [dashboard]",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,general user,The user sets analytic intents.
,,,,,,,Visualization,Selector,"Producer, Recommender",Sequential,None,Vis Widget,Medium,Medium,High,One-shot,Low,High,general user,"The AI recommends collections, the user configures components."
,,,,,,,Insight Synthesis,Updater,Updater,Decision,Vis,None,Medium,High,Low,One-shot,High,High,general user,"The user refines dashboards, the AI updates."
40,LightVA: Lightweight Visual Analytics with LLM Agent-Based Task Planning and Execution,2024,TVCG,https://doi.org/10.1109/TVCG.2024.3496112,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Set [goal]

    note over H,A: Data Preparation
    A ->> A: Decompose [task]

    note over H,A: Visualization
    A ->> A: Execute [visualization & analysis]

    note over H,A: Insight Synthesis
    A ->> H: Present [insights]
    alt Task too complex
        A ->> A: Recursive [plan & execute]
    end
    H ->> H: Inspect [results]
    H ->> A: Refine [task or goal]",,Goal Setting,Explorer,Recommender,Sequential,Text Widget,Text,Medium,Medium,Low,One-shot,High,Low,novice/general,The user sets analytic goals.
,,,,,,,Data Preparation,None,Producer,Sequential,None,Code,High,Medium,Low,One-shot,Medium,Medium,novice/general,The AI decomposes tasks into subtasks.
,,,,,,,Visualization,Selector,None,Sequential,Vis Code,Vis,Medium,Medium,Medium,Continuous,Low,High,novice/general,The AI performs data analysis and visualization.
,,,,,,,Insight Synthesis,Recommender,Analyzer,Repetitive,Text Widget,Text Vis,Medium,High,Low,One-shot,High,High,novice/general,"The AI presents insights, the user inspects and adjusts tasks, possibly triggering recursive planning."
41,EXMOS: Explanatory Model Steering Through Multifaceted Explanations and Data Configurations,2024,CHI,https://arxiv.org/pdf/2402.00491,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    A ->> H: Provide [explanation]

    note over H,A: Data Preparation
    alt Manual
        H ->> A: Configure [data]
    else Automated
        A ->> H: Suggest [issue]
        H ->> A: Approve [fix]
    end

    note over H,A: Visualization
    A ->> H: Update [explanation]

    note over H,A: Insight Synthesis
    A ->> A: Retrain [model]
    H ->> A: Steer [model]",,Goal Setting,None,Specifier,Sequential,Text,Text Vis,Medium,Medium,High,One-shot,High,Low,domain expert,The AI provides model or data explanations with textual and visual dashboards.
,,,,,,,Data Preparation,"Recommender, Transformer",Recommender,Decision,Widget Text,Vis,High,Medium,Low,One-shot,Medium,Medium,domain expert,The person configures data or approves AI suggestions through interface interactions and text.
,,,,,,,Visualization,None,Updater,Sequential,None,Vis,Medium,Medium,Medium,Continuous,Low,High,domain expert,"The system updates explanations, showing model and data states in charts."
,,,,,,,Insight Synthesis,None,None,Repetitive,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The person manipulates models, the AI retrains and outputs updated visual explanations."
42,“The Data Says Otherwise” – Towards Automated Fact-checking and Communication of Data Claims,2024,UIST,https://dl.acm.org/doi/pdf/10.1145/3654777.3676359,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Submit [claim]

    note over H,A: Data Preparation
    A ->> A: Map [data]
    A ->> A: Retrieve [evidence]

    note over H,A: Insight Synthesis
    A ->> H: Present [verdict]
    alt Override
        H ->> A: Correct [decision]
        A ->> A: Revise [pipeline]
    end

    note over H,A: Visualization
    A ->> H: Show [visualization]",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,general user,The user submits data statements.
,,,,,,,Data Preparation,None,Interpreter,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,general user,The system maps statements and retrieves evidence.
,,,,,,,Insight Synthesis,Refiner,"Producer, Refiner",Sequential,None,Vis,Medium,High,High,One-shot,High,High,general user,"The system provides conclusions, the user may correct them, and the AI updates pipelines."
,,,,,,,Visualization,None,Presenter,Decision,None,Vis,Medium,Medium,Low,One-shot,Low,High,general user,The system visualizes data evidence.
43,LEVA: Using Large Language Models to Enhance Visual Analytics,2024,TVCG,https://doi.org/10.1109/TVCG.2024.3368060,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Request [onboarding]

    note over H,A: Data Preparation
    A ->> H: Explain [visualization & relationships]
    A ->> A: Analyze [system status & data]

    note over H,A: Visualization
    H ->> H: Explore [data]
    A ->> H: Recommend [insights as annotations]

    note over H,A: Insight Synthesis
    H ->> A: Request [summarization]
    A ->> H: Generate [report with visuals & text]",,Goal Setting,"Evaluator, Refiner",Refiner,Sequential,Text,Text,Medium,Medium,Low,One-shot,High,Low,novice/general,The user requests onboarding.
,,,,,,,Data Preparation,None,None,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,novice/general,The system explains visualizations and relations and analyzes data.
,,,,,,,Visualization,Explorer,Recommender,Sequential,None,Vis Text,Medium,Medium,Low,One-shot,Low,High,novice/general,The system recommends insights and annotates them in visualizations.
,,,,,,,Insight Synthesis,Refiner,Refiner,Sequential,Vis Text,Text,Medium,High,Low,One-shot,High,High,novice/general,"The user requests summaries, the system generates reports combining text and visualization."
44,Supporting Guided Exploratory Visual Analysis on Time Series Data with Reinforcement Learning,2024,TVCG,https://doi.org/10.1109/TVCG.2023.3327200,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Upload [dataset]

    note over H,A: Data Preparation
    A ->> H: Extract [insight]
    A ->> H: Recommend [sequence]

    note over H,A: Visualization
    H ->> A: View [chart]

    note over H,A: Insight Synthesis
    alt Modify
        H ->> A: Edit [step]
        A ->> H: Update [sequence]
    else Accept
        H ->> A: Continue [exploration]
    end",,Goal Setting,Updater,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user uploads time series datasets.
,,,,,,,Data Preparation,None,"Interpreter, Recommender",Sequential,None,Text Vis,High,Medium,Low,One-shot,Medium,Medium,domain expert,The AI extracts insights and recommends EVA sequences.
,,,,,,,Visualization,Explorer,None,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The system generates annotated charts.
,,,,,,,Insight Synthesis,"Refiner, Selector",Refiner,Decision,Vis,None,Medium,High,High,One-shot,High,High,domain expert,"The user modifies or accepts recommended steps, the system updates exploration sequences."
45,ArticulatePro: A Comparative Study on a Proactive and Non-Proactive Assistant in a Climate Data Exploration Task,2024,CHI,http://arxiv.org/abs/2409.10797,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    par Conversation
        H ->> H: Discuss [data exploration ideas]
        A ->> A: Continuously listen [context]
    end

    note over H,A: Visualization
    opt Detect [opportunity]
        A ->> H: Generate [relevant visualization proactively]
    end
    H ->> A: Request [new or modified visualization]
    A ->> H: Respond [visualization]

    note over H,A: Insight Synthesis
    H ->> H: Interpret [charts]",,Goal Setting,Demonstrator,None,Parallel,Speech,None,Medium,Medium,Low,Continuous,High,Low,domain expert,"The user discusses exploration intents in dialogue, the AI continuously listens."
,,,,,,,Visualization,None,"Generator, Presenter",Decision,Widget Speech,Vis,Medium,Medium,High,One-shot,Low,High,domain expert,"The AI proactively generates charts, the user requests modifications or additions."
,,,,,,,Insight Synthesis,Evaluator,None,Sequential,Vis,None,Medium,High,Low,One-shot,High,High,domain expert,The user interprets charts and co-explores with AI.
46,InsigHTable: Insight-driven Hierarchical Table Visualization with Reinforcement Learning,2024,TVCG,https://doi.org/10.1109/TVCG.2024.3404454,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Upload [table]

    note over H,A: Data Preparation
    A ->> A: Extract [features]
    A ->> A: Plan [actions]

    note over H,A: Visualization
    par Two-Stage Process
        A ->> A: Transform [structure]
        A ->> A: Select [block]
        A ->> A: Embed [visualization]
    end
    A ->> H: Show [result]

    note over H,A: Insight Synthesis
    alt Feedback
        H ->> A: Accept [feedback]
    else
        H ->> A: Reject [feedback]
    end
    A ->> A: Update [policy]",,Goal Setting,Updater,None,Sequential,Widget,None,Medium,Medium,Low,One-shot,High,Low,general user,The user uploads hierarchical tables.
,,,,,,,Data Preparation,None,"Executor, Interpreter",Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,general user,The AI extracts features and plans actions.
,,,,,,,Visualization,None,"Generator, Presenter",Parallel,None,Vis,Medium,Medium,Low,Continuous,Low,High,general user,The system embeds visualizations and presents results.
,,,,,,,Insight Synthesis,Evaluator,Refiner,Decision,Vis,None,Medium,High,High,One-shot,High,High,general user,"The user accepts or rejects feedback, the AI updates strategies."
47,Stile: Exploring and Debugging Social Biases in Pre-trained Text Representations,2024,CHI,https://dl.acm.org/doi/10.1145/3613904.3642111,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Define [domain]

    note over H,A: Data Preparation
    A ->> H: Compute [bias]

    note over H,A: Visualization
    A ->> H: Visualize [overview]
    H ->> A: Inspect [bias]

    note over H,A: Insight Synthesis
    A ->> H: Highlight [context]
    opt Debugging
        H ->> A: Modify [lens]
        A ->> H: Recompute [bias]
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user defines analytic domains or themes.
,,,,,,,Data Preparation,None,Analyzer,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,domain expert,The AI computes bias.
,,,,,,,Visualization,Explorer,Generator,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,"The AI presents bias overviews, the user inspects details."
,,,,,,,Insight Synthesis,Refiner,Refiner,Repetitive,Vis,Text,Medium,High,Medium,Continuous,High,High,domain expert,"The user modifies lenses, the AI recalculates bias."
48,Interpreting High-Dimensional Projections With Capacity,2024,TVCG,https://ieeexplore.ieee.org/document/10313136/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [data]

    note over H,A: Data Preparation
    A ->> H: Compute [capacity]

    note over H,A: Visualization
    A ->> H: Visualize [distortion]
    H ->> A: Explore [distribution]

    note over H,A: Insight Synthesis
    A ->> H: Recommend [adjustment]
    H ->> A: Modify [projection]
    A ->> H: Update [view]",,Goal Setting,Selector,None,Sequential,Widget,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user selects data for dimensionality reduction.
,,,,,,,Data Preparation,None,Analyzer,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,domain expert,The AI computes capacity metrics.
,,,,,,,Visualization,Explorer,Generator,Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,"The AI presents projection distortion, the user explores."
,,,,,,,Insight Synthesis,Refiner,"Recommender, Refiner",Repetitive,Vis,None,Medium,High,Medium,Continuous,High,High,domain expert,"The AI recommends adjustments, the user modifies projections."
49,SpectrumVA: Visual Analysis of Astronomical Spectra for Facilitating Classification Inspection,2024,TVCG,https://ieeexplore.ieee.org/document/10183376/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Select [spectrum]

    note over H,A: Data Preparation
    A ->> H: Suggest [redshift]

    note over H,A: Visualization
    H ->> A: Adjust [lines]
    A ->> H: Provide [feedback]

    note over H,A: Insight Synthesis
    H ->> A: Confirm [class]
    A ->> H: Recommend [similar]",,Goal Setting,Selector,None,Sequential,Widget,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user selects interesting spectra.
,,,,,,,Data Preparation,None,Recommender,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,domain expert,The AI recommends candidate redshifts.
,,,,,,,Visualization,Updater,Updater,Repetitive,Vis,None,Medium,Medium,Medium,Continuous,Low,High,domain expert,"The user adjusts spectral lines, the AI provides feedback."
,,,,,,,Insight Synthesis,Evaluator,Recommender,Sequential,Vis,None,Medium,High,Low,One-shot,High,High,domain expert,"The user confirms classifications, the AI recommends similar spectra."
50,TopicRefiner: Coherence-Guided Steerable LDA for Visual Topic Enhancement,2024,TVCG,https://ieeexplore.ieee.org/document/10102323/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Set [topics]

    note over H,A: Data Preparation
    A ->> H: Extract [output]

    note over H,A: Visualization
    H ->> A: Refine [term]
    A ->> H: Recommend [term]
    H ->> A: Edit [document]
    A ->> H: Update [coherence]

    note over H,A: Insight Synthesis
    opt TopicOps
        H ->> A: Merge [topic]
        H ->> A: Split [topic]
        A ->> H: Adjust [result]
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,domain expert,The user sets the number of topics.
,,,,,,,Data Preparation,None,Interpreter,Sequential,None,Text,High,Medium,Low,One-shot,Medium,Medium,domain expert,The AI extracts initial topics.
,,,,,,,Visualization,Updater,"Recommender, Updater",Repetitive,None,Vis Text,Medium,Medium,Medium,Continuous,Low,High,domain expert,"The user modifies terms, the AI recommends alternatives and updates coherence."
,,,,,,,Insight Synthesis,Selector,Refiner,Sequential,Text,Vis,Medium,High,Low,One-shot,High,High,domain expert,"The user merges or splits topics, the AI adjusts results."
51,Concept Induction: Analyzing Unstructured Text with High-Level Concepts Using LLooM,2024,CHI,https://doi.org/10.1145/3613904.3642830,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [data]  
    A ->> A: Generate [concept]  

    note over H,A: Insight Synthesis
    A ->> H: Present [concept]  
    opt Steering
        H ->> A: Refine [concept]  
        A ->> H: Update [concept]  
    end
    H ->> A: Apply [criteria]  

    note over H,A: Visualization
    A ->> H: Visualize [concept]",,Data Preparation,Executor,Analyzer,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,domain expert,"The user provides data, the AI generates high-level concepts."
,,,,,,,Visualization,"Refiner, Selector","Producer, Refiner",Sequential,None,Vis,Medium,Medium,Low,One-shot,Low,High,domain expert,The AI visualizes concept distributions.
,,,,,,,Insight Synthesis,None,Generator,Repetitive,Text,None,Medium,High,Medium,Continuous,High,High,domain expert,"The user refines or modifies concepts, the AI updates and presents them."
52,CoInsight: Visual Storytelling for Hierarchical Tables With Connected Insights,2024,TVCG,https://ieeexplore.ieee.org/document/10499832/,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Data Preparation
    H ->> A: Provide [table]

    note over H,A: Insight Synthesis
    A ->> H: Extract [insight]
    A ->> H: Construct [graph]
    H ->> A: Explore [relations]
    A ->> H: Recommend [story]
    opt Refine
        H ->> A: Adjust [narrative]
        A ->> H: Update [story]
    end",,Data Preparation,Executor,None,Sequential,Text,None,High,Medium,Low,One-shot,Medium,Medium,general user,The user provides hierarchical tables.
,,,,,,,Insight Synthesis,Refiner,"Producer, Recommender, Refiner",Repetitive,None,Text Vis,Medium,High,Medium,Continuous,High,High,general user,"The AI extracts insights and generates relationship graphs, the user explores and adjusts narratives."
53,Improving Steering and Verification in AI-Assisted Data Analysis with Interactive Task DecompositionImproving Steering and Verification in AI-Assisted Data Analysis with Interactive Task Decomposition,2024,UIST,https://arxiv.org/pdf/2407.02651?,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Submit [analysis task]

    note over H,A: Data Preparation
    alt Conversational
        A ->> H: Provide [full solution]
        H ->> A: Send [follow-up prompts]
    else Stepwise
        A ->> H: Present [editable assumptions + code per step]
        H ->> A: Modify [assumptions or code]
        A ->> H: Generate [next step output]
    else Phasewise
        A ->> H: Present [assumptions, execution plan, code]
        H ->> A: Edit [any phase]
        A ->> H: Update [solution accordingly]
    end

    note over H,A: Insight Synthesis
    H ->> A: Verify [results, correctness]",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,general user,The user submits analytic tasks.
,,,,,,,Data Preparation,"Recommender, Transformer","Analyzer, Executor, Recommender",Decision,None,Code,High,Medium,High,One-shot,Medium,Medium,general user,The AI outputs hypotheses and code stepwise or in phases through conversation.
,,,,,,,Insight Synthesis,None,Evaluator,Decision,Code,None,Medium,High,High,One-shot,High,High,general user,The user inspects and modifies results.
54,InsightLens: Augmenting LLM-Powered Data Analysis with Interactive Insight Management and Navigation,2025,TVCG,https://doi.org/10.48550/arXiv.2404.01644,"sequenceDiagram
    participant H as Human
    participant A as AI

    note over H,A: Goal Setting
    H ->> A: Ask [query]

    note over H,A: Insight Synthesis
    A ->> A: Produce [insight]  
    A ->> H: Present [insight]  
    A ->> H: Record [insight]  
    A ->> H: Organize [context]  

    opt Navigation
        H ->> A: Select [insight]  
        A ->> H: Display [detail]  
    end",,Goal Setting,Specifier,None,Sequential,Text,None,Medium,Medium,Low,One-shot,High,Low,novice/general,The user raises queries.
